china_abs_off	section	rel_off	d3txt00_index
654	0	566	391
721	0	633	391
754	0	666	509
786	0	698	391
851	0	763	776
884	0	796	778
1113	0	1025	256
1179	0	1091	710
1762	0	1674	1467
1826	0	1738	1392
1858	0	1770	785
1956	0	1868	1141
2021	0	1933	319
2053	0	1965	1149
2865	0	2777	326
3286	0	3198	585
3513	0	3425	310
3545	0	3457	714
3577	0	3489	910
3609	0	3521	1166
3739	0	3651	360
3807	0	3719	1091
4107	0	4019	949
4139	0	4051	1018
4204	0	4116	741
4365	0	4277	1306
4495	0	4407	191
4527	0	4439	359
4592	0	4504	578
4624	0	4536	1317
4976	0	4888	1444
5201	0	5113	456
5233	0	5145	788
5297	0	5209	1469
5361	0	5273	818
5426	0	5338	1076
5458	0	5370	589
5490	0	5402	966
5522	0	5434	231
5618	0	5530	643
5650	0	5562	1401
5714	0	5626	320
6772	0	6684	810
6933	0	6845	1257
7126	0	7038	166
7190	0	7102	802
7225	0	7137	527
7267	0	7179	745
7332	0	7244	1123
7364	0	7276	745
7461	0	7373	494
7493	0	7405	879
7558	0	7470	272
7590	0	7502	774
7622	0	7534	708
7654	0	7566	964
7986	0	7898	346
8083	0	7995	1366
8115	0	8027	1164
8179	0	8091	1060
8565	0	8477	504
8597	0	8509	244
8629	0	8541	1055
8693	0	8605	289
8791	0	8703	1088
8855	0	8767	884
8887	0	8799	1273
8984	0	8896	1066
9048	0	8960	113
9112	0	9024	498
9305	0	9217	147
9337	0	9249	934
9434	0	9346	987
9466	0	9378	1011
9530	0	9442	167
9562	0	9474	1302
9724	0	9636	834
10109	0	10021	1474
10141	0	10053	1347
10205	0	10117	718
10237	0	10149	1247
10269	0	10181	1411
10365	0	10277	872
10558	0	10470	1113
10590	0	10502	1403
10751	0	10663	526
10815	0	10727	944
10975	0	10887	447
11297	0	11209	395
11329	0	11241	313
11361	0	11273	1016
11586	0	11498	325
11618	0	11530	1445
11811	0	11723	660
11875	0	11787	305
12036	0	11948	501
12100	0	12012	1230
12198	0	12110	1384
12423	0	12335	335
12455	0	12367	1040
12519	0	12431	856
12648	0	12560	1473
12777	0	12689	537
12875	0	12787	1003
12907	0	12819	695
12939	0	12851	331
12971	0	12883	1452
13228	0	13140	927
13260	0	13172	562
13613	0	13525	808
13781	0	13693	1234
13813	0	13725	809
13973	0	13885	875
14038	0	13950	495
14102	0	14014	747
14198	0	14110	843
14263	0	14175	896
14295	0	14207	1276
14327	0	14239	108
14359	0	14271	644
14423	0	14335	406
14584	0	14496	470
14616	0	14528	1163
14648	0	14560	720
14680	0	14592	267
14744	0	14656	651
14906	0	14818	433
14938	0	14850	811
14970	0	14882	1414
15131	0	15043	216
15361	0	15273	493
15665	0	15577	920
15796	0	15708	205
15828	0	15740	616
15860	0	15772	217
15892	0	15804	1233
15988	0	15900	1319
16213	0	16125	752
16277	0	16189	1099
16598	0	16510	611
16630	0	16542	795
16662	0	16574	707
16758	0	16670	641
16822	0	16734	1008
16918	0	16830	1312
17251	0	17163	701
17283	0	17195	705
17380	0	17292	570
17605	0	17517	1035
17703	0	17615	1310
17832	0	17744	430
17864	0	17776	1031
18090	0	18002	1062
18156	0	18068	928
18221	0	18133	186
18253	0	18165	598
18286	0	18198	754
18350	0	18262	1374
18479	0	18391	1102
18543	0	18455	945
18908	0	18820	400
18972	0	18884	859
19100	0	19012	677
19485	0	19397	762
19549	0	19461	337
19581	0	19493	677
19613	0	19525	345
19645	0	19557	1346
19870	0	19782	496
19934	0	19846	1208
20094	0	20006	841
20382	0	20294	204
20463	0	20375	1212
20530	0	20442	252
20562	0	20474	925
20808	0	20720	1373
20937	0	20849	555
20969	0	20881	457
21001	0	20913	317
21065	0	20977	1165
21097	0	21009	1197
21129	0	21041	1428
21225	0	21137	840
21418	0	21330	1061
21451	0	21363	1388
21515	0	21427	892
21710	0	21622	336
22096	0	22008	276
22521	0	22433	219
22585	0	22497	106
22906	0	22818	412
23574	1	598	873
23638	1	662	361
23862	1	886	499
23992	1	1016	530
24089	1	1113	1038
24121	1	1145	1304
24218	1	1242	499
24412	1	1436	381
24444	1	1468	1093
24508	1	1532	1345
25022	1	2046	1227
25163	1	2187	968
25196	1	2220	1329
25261	1	2285	853
25293	1	2317	382
25391	1	2415	241
25585	1	2609	900
25618	1	2642	437
25650	1	2674	409
25714	1	2738	731
25746	1	2770	1195
25940	1	2964	618
26070	1	3094	604
26102	1	3126	297
26166	1	3190	975
26198	1	3222	1299
26231	1	3255	972
26263	1	3287	574
26295	1	3319	728
26327	1	3351	661
26624	1	3648	1283
26688	1	3712	1449
26753	1	3777	1131
26785	1	3809	981
26817	1	3841	602
27045	1	4069	1044
27142	1	4166	1352
27208	1	4232	1114
27240	1	4264	743
27371	1	4395	136
27632	1	4656	1351
27801	1	4825	351
27865	1	4889	1034
27962	1	4986	1021
27994	1	5018	1434
28058	1	5082	962
28154	1	5178	684
28474	1	5498	1229
28634	1	5658	988
28844	1	5868	417
28986	1	6010	1464
29180	1	6204	1402
29348	1	6372	551
29412	1	6436	150
29444	1	6468	829
29607	1	6631	1293
29639	1	6663	315
30355	1	7379	1405
30387	1	7411	880
30614	1	7638	1210
30646	1	7670	1361
30782	1	7806	228
30912	1	7936	228
30944	1	7968	1096
30976	1	8000	190
31008	1	8032	995
31040	1	8064	1226
31072	1	8096	800
32097	2	793	472
32129	2	825	396
32163	2	859	659
32227	2	923	1296
32292	2	988	876
32486	2	1182	188
32691	2	1387	672
32723	2	1419	404
32821	2	1517	1435
33114	2	1810	1042
33341	2	2037	211
33502	2	2198	630
33535	2	2231	813
34153	2	2849	161
34283	2	2979	1216
34449	2	3145	999
34513	2	3209	249
34806	2	3502	397
35359	2	4055	437
35456	2	4152	198
35745	2	4441	678
36002	2	4698	903
36647	2	5343	1201
36840	2	5536	728
37734	3	598	930
37799	3	663	465
37895	3	759	436
37960	3	824	733
38056	3	920	349
38089	3	953	1109
38122	3	986	534
38155	3	1019	902
38188	3	1052	1397
38252	3	1116	891
38348	3	1212	110
38478	3	1342	383
38542	3	1406	1002
38574	3	1438	410
38606	3	1470	1406
38927	3	1791	436
38971	3	1835	1383
39068	3	1932	566
39101	3	1965	567
39232	3	2096	410
39328	3	2192	1090
39360	3	2224	370
39681	3	2545	246
39713	3	2577	1068
39938	3	2802	1120
40036	3	2900	215
40359	3	3223	222
40391	3	3255	533
40586	3	3450	1017
40715	3	3579	416
40783	3	3647	1207
40944	3	3808	251
40977	3	3841	1009
41041	3	3905	746
41073	3	3937	1246
41204	3	4068	489
41236	3	4100	529
41337	3	4201	1115
41369	3	4233	654
41984	3	4848	294
42023	3	4887	1342
42088	3	4952	865
42120	3	4984	1221
42313	3	5177	347
42442	3	5306	984
42506	3	5370	1458
42538	3	5402	983
42778	3	5642	1395
43236	3	6100	286
43268	3	6132	692
43396	3	6260	1381
43622	3	6486	274
43695	3	6559	862
43791	3	6655	374
43888	3	6752	135
43920	3	6784	939
43952	3	6816	1125
43984	3	6848	1455
44016	3	6880	736
44048	3	6912	1156
45006	4	598	431
45200	4	792	208
45351	4	943	580
45383	4	975	330
45511	4	1103	1279
45802	4	1394	793
46003	4	1595	678
46263	4	1855	755
46295	4	1887	1456
46359	4	1951	755
46488	4	2080	1323
46520	4	2112	750
46617	4	2209	976
46713	4	2305	1314
46745	4	2337	1399
46811	4	2403	764
46843	4	2435	1145
47101	4	2693	257
47198	4	2790	1437
47328	4	2920	547
47393	4	2985	940
47425	4	3017	203
47779	4	3371	634
47813	4	3405	729
47845	4	3437	821
47877	4	3469	500
48501	4	4093	196
48694	4	4286	192
48726	4	4318	1070
48758	4	4350	1472
49270	4	4862	830
49399	4	4991	852
49527	4	5119	162
49559	4	5151	1169
49752	4	5344	922
49784	4	5376	760
49848	4	5440	797
49880	4	5472	1006
49944	4	5536	463
50136	4	5728	768
50168	4	5760	1106
51126	5	598	1262
51223	5	695	973
51255	5	727	358
51448	5	920	487
51481	5	953	163
51521	5	993	372
51553	5	1025	1194
51588	5	1060	149
51757	5	1229	921
51789	5	1261	540
51821	5	1293	1154
51853	5	1325	846
51885	5	1357	1429
52148	5	1620	142
52214	5	1686	916
52246	5	1718	143
52278	5	1750	259
52375	5	1847	453
52407	5	1879	402
52439	5	1911	627
52503	5	1975	287
52535	5	2007	645
52601	5	2073	556
52796	5	2268	207
53022	5	2494	772
53441	5	2913	508
53473	5	2945	889
53537	5	3009	1186
53569	5	3041	1033
53601	5	3073	931
53633	5	3105	620
53800	5	3272	1030
53930	5	3402	1389
53962	5	3434	713
54125	5	3597	607
54157	5	3629	311
54287	5	3759	419
54487	5	3959	477
54519	5	3991	344
54616	5	4088	478
54680	5	4152	895
54712	5	4184	314
54905	5	4377	1098
55130	5	4602	214
55226	5	4698	1430
55804	5	5276	544
55836	5	5308	560
55900	5	5372	1132
55967	5	5439	557
56166	5	5638	425
56263	5	5735	183
56295	5	5767	455
56327	5	5799	738
56595	5	6067	367
56886	5	6358	1022
57021	5	6493	556
57118	5	6590	721
57150	5	6622	814
57182	5	6654	137
57343	5	6815	1092
57472	5	6944	283
57504	5	6976	1270
57536	5	7008	1136
57632	5	7104	749
57703	5	7175	357
57768	5	7240	613
57865	5	7337	905
58206	5	7678	443
58238	5	7710	405
58706	5	8178	386
58770	5	8242	238
58905	5	8377	539
59100	5	8572	619
59132	5	8604	915
59164	5	8636	881
59934	6	598	1052
59966	6	630	757
59998	6	662	1108
60128	6	792	919
60491	6	1155	392
60595	6	1259	1146
60659	6	1323	1363
60821	6	1485	334
60988	6	1652	142
61086	6	1750	943
61186	6	1850	226
61218	6	1882	1408
61252	6	1916	951
61318	6	1982	1268
61447	6	2111	1454
61479	6	2143	620
61639	6	2303	1220
61961	6	2625	242
62129	6	2793	591
62225	6	2889	1278
62450	6	3114	1327
62815	6	3479	726
62912	6	3576	1126
62944	6	3608	1214
63105	6	3769	486
63138	6	3802	1082
63555	6	4219	1348
63587	6	4251	544
63717	6	4381	516
63788	6	4452	209
63853	6	4517	1252
63885	6	4549	640
64155	6	4819	959
64613	6	5277	877
64710	6	5374	1336
64838	6	5502	176
64903	6	5567	622
64936	6	5600	816
64968	6	5632	622
65039	6	5703	1391
65071	6	5735	1362
65135	6	5799	753
65635	6	6299	1085
65734	6	6398	699
65843	6	6507	1140
65911	6	6575	1425
66145	6	6809	913
66178	6	6842	601
66242	6	6906	139
66499	6	7163	1083
66628	6	7292	595
67367	7	599	558
67400	7	632	1128
67433	7	665	354
67593	7	825	1203
67632	7	864	592
67676	7	908	842
67805	7	1037	284
67906	7	1138	638
68006	7	1238	479
68038	7	1270	1043
68303	7	1535	379
68335	7	1567	1426
68367	7	1599	775
68399	7	1631	1239
68529	7	1761	1426
68638	7	1870	408
68712	7	1944	887
68744	7	1976	375
68776	7	2008	1184
68936	7	2168	592
69001	7	2233	528
69033	7	2265	1204
69098	7	2330	1320
69130	7	2362	1365
69292	7	2524	858
69520	7	2752	855
69717	7	2949	979
70039	7	3271	637
70106	7	3338	565
70478	7	3710	1369
70575	7	3807	388
70712	7	3944	1203
70778	7	4010	735
70810	7	4042	1337
70986	7	4218	650
71157	7	4389	234
71886	8	598	247
71918	8	630	1139
72210	8	922	1139
72251	8	963	682
72412	8	1124	423
72451	8	1163	461
72483	8	1195	366
72712	8	1424	157
73002	8	1714	1104
73034	8	1746	1424
73066	8	1778	985
73165	8	1877	1067
73197	8	1909	958
73294	8	2006	960
73426	8	2138	725
73554	8	2266	867
73780	8	2492	761
73815	8	2527	1218
73879	8	2591	323
74594	8	3306	739
74659	8	3371	828
74928	8	3640	502
75473	8	4185	1465
75505	8	4217	512
75537	8	4249	1024
75569	8	4281	169
75601	8	4313	327
75633	8	4345	1265
75954	8	4666	170
75986	8	4698	801
76018	8	4730	734
76050	8	4762	221
76082	8	4794	1272
76210	8	4922	1202
76274	8	4986	617
76466	8	5178	1370
76947	8	5659	950
77204	8	5916	423
77236	8	5948	1019
77333	8	6045	1331
77464	8	6176	262
77496	8	6208	646
77722	8	6434	1261
77789	8	6501	937
77853	8	6565	1375
78078	8	6790	1121
78143	8	6855	153
78175	8	6887	1187
78370	8	7082	1117
78402	8	7114	563
78498	8	7210	213
79079	8	7791	280
79143	8	7855	1359
79240	8	7952	803
79305	8	8017	280
79337	8	8049	941
79369	8	8081	1100
79500	8	8212	339
79660	8	8372	1271
80045	8	8757	266
80110	8	8822	664
80142	8	8854	1334
80181	8	8893	898
80535	8	9247	377
80728	8	9440	756
80760	8	9472	907
80792	8	9504	532
80856	8	9568	761
81216	8	9928	732
81570	8	10282	1053
81602	8	10314	364
81957	8	10669	482
81992	8	10704	1475
82024	8	10736	1054
82056	8	10768	1400
82282	8	10994	1054
82322	8	11034	179
82354	8	11066	655
82749	8	11461	193
82813	8	11525	704
83070	8	11782	322
83134	8	11846	1451
83968	9	672	373
84000	9	704	804
84193	9	897	744
84225	9	929	1398
84257	9	961	977
84289	9	993	1240
84515	9	1219	546
84644	9	1348	546
84682	9	1386	1004
84748	9	1452	1075
84813	9	1517	165
84945	9	1649	559
84980	9	1684	823
85012	9	1716	1461
85270	9	1974	1138
85431	9	2135	1063
85465	9	2169	1303
85595	9	2299	826
85724	9	2428	552
85756	9	2460	459
85982	9	2686	307
86014	9	2718	387
86046	9	2750	371
86208	9	2912	942
86240	9	2944	1328
86272	9	2976	1027
86369	9	3073	929
86467	9	3171	974
86499	9	3203	1357
86632	9	3336	878
86664	9	3368	159
87216	9	3920	911
87421	9	4125	897
87517	9	4221	836
87647	9	4351	904
87679	9	4383	1188
87743	9	4447	318
88000	9	4704	1300
88064	9	4768	1161
88290	9	4994	1290
88354	9	5058	938
88712	9	5416	300
88809	9	5513	278
88874	9	5578	473
89017	9	5721	469
89051	9	5755	1431
89083	9	5787	1396
89115	9	5819	201
89373	9	6077	235
89502	9	6206	1199
89706	9	6410	683
89738	9	6442	771
89770	9	6474	224
89900	9	6604	792
89932	9	6636	1206
89965	9	6669	1074
90029	9	6733	224
90388	9	7092	243
90585	9	7289	1371
90617	9	7321	954
90649	9	7353	195
90713	9	7417	623
90777	9	7481	1256
90873	9	7577	844
91068	9	7772	1105
91872	10	632	378
91976	10	736	1407
92072	10	832	1232
92425	10	1185	202
92458	10	1218	229
92490	10	1250	308
92523	10	1283	766
92555	10	1315	363
92619	10	1379	1407
92754	10	1514	488
93086	10	1846	1450
93183	10	1943	1338
93315	10	2075	554
93638	10	2398	668
93769	10	2529	668
93837	10	2597	352
94163	10	2923	990
94469	10	3229	998
94501	10	3261	866
94535	10	3295	596
94765	10	3525	1339
95009	10	3769	969
95041	10	3801	1178
95073	10	3833	415
95105	10	3865	134
95299	10	4059	232
95622	10	4382	948
95858	10	4618	1287
96218	10	4978	1180
96511	10	5271	666
96673	10	5433	328
96771	10	5531	1225
96803	10	5563	1264
97542	11	598	390
97681	11	737	676
97713	11	769	1427
97745	11	801	564
97777	11	833	894
97809	11	865	376
98227	11	1283	1442
98331	11	1387	524
98363	11	1419	890
98428	11	1484	861
98493	11	1549	471
98655	11	1711	302
98687	11	1743	1243
98789	11	1845	869
98982	11	2038	441
99047	11	2103	1441
99500	11	2556	698
99532	11	2588	796
100016	11	3072	730
100049	11	3105	564
100209	11	3265	579
100373	11	3429	444
100405	11	3461	1308
100438	11	3494	1423
100505	11	3561	531
101005	11	4061	1000
101037	11	4093	451
101166	11	4222	303
101198	11	4254	1111
101230	11	4286	309
101262	11	4318	868
101647	11	4703	1330
101776	11	4832	341
101840	11	4896	923
102098	11	5154	1160
102163	11	5219	220
102195	11	5251	685
102227	11	5283	1368
102389	11	5445	449
102421	11	5477	625
102520	11	5576	491
102553	11	5609	446
102585	11	5641	1072
102650	11	5706	413
102714	11	5770	1376
102778	11	5834	168
102810	11	5866	1259
103079	11	6135	1387
103273	11	6329	189
103339	11	6395	652
103403	11	6459	462
103531	11	6587	1443
103564	11	6620	312
103596	11	6652	507
103757	11	6813	1023
103886	11	6942	415
104378	11	7434	561
104443	11	7499	524
104475	11	7531	265
104797	11	7853	794
104829	11	7885	1409
104925	11	7981	295
105087	11	8143	1189
105216	11	8272	991
105312	11	8368	481
105346	11	8402	481
105477	11	8533	172
105733	11	8789	223
105862	11	8918	1266
106090	11	9146	296
106218	11	9274	343
107151	12	631	636
107183	12	663	362
107375	12	855	1228
107695	12	1175	1155
107919	12	1399	1372
108016	12	1496	1026
108048	12	1528	420
108080	12	1560	863
108112	12	1592	971
108144	12	1624	1260
108208	12	1688	624
108304	12	1784	350
108817	12	2297	1122
108849	12	2329	542
109042	12	2522	523
109074	12	2554	1103
109138	12	2618	1254
109170	12	2650	1079
109234	12	2714	1466
109458	12	2938	1219
109844	12	3324	657
109876	12	3356	368
109972	12	3452	1071
110390	12	3870	1253
110422	12	3902	199
110518	12	3998	914
110583	12	4063	1130
110782	12	4262	657
110814	12	4294	368
